comuna_estab_deis,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07
Aisén,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Algarrobo,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alhué,1.0,1.0,1.0,2.0,3.0,5.0,3.0,5.0,3.0,,,,1.0,,,1.0,,1.0,2.0,3.0,2.0,2.0,1.0,,,2.0,1.0,,,,2.0,1.0,2.0,,,,
Alto Hospicio,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Arica,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Buin,17.0,17.0,27.0,31.0,36.0,37.0,28.0,25.0,40.0,39.0,32.0,44.0,34.0,37.0,35.0,39.0,21.0,42.0,35.0,19.0,19.0,11.0,14.0,13.0,13.0,19.0,16.0,20.0,20.0,18.0,15.0,22.0,14.0,10.0,8.0,6.0,11.0
Cabrero,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
Calama,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Calbuco,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calera de Tango,4.0,6.0,4.0,7.0,4.0,7.0,6.0,8.0,7.0,13.0,11.0,18.0,9.0,13.0,18.0,14.0,12.0,19.0,14.0,5.0,7.0,4.0,4.0,7.0,4.0,5.0,,2.0,,,2.0,3.0,5.0,5.0,3.0,4.0,3.0
Castro,,,,,,2.0,1.0,,,,,3.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,
Catemu,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauquenes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Cerrillos,12.0,17.0,19.0,12.0,27.0,48.0,48.0,37.0,43.0,33.0,40.0,35.0,40.0,42.0,34.0,35.0,27.0,62.0,54.0,33.0,25.0,24.0,23.0,14.0,13.0,16.0,24.0,17.0,14.0,17.0,12.0,12.0,13.0,13.0,11.0,9.0,10.0
Cerro Navia,36.0,26.0,27.0,21.0,16.0,24.0,23.0,22.0,25.0,38.0,25.0,26.0,36.0,29.0,38.0,41.0,34.0,50.0,45.0,13.0,9.0,11.0,13.0,20.0,16.0,17.0,15.0,11.0,11.0,17.0,15.0,11.0,14.0,13.0,11.0,9.0,13.0
Chiguayante,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Chillán ,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
Codegua,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Colbún,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colina,25.0,28.0,36.0,39.0,42.0,44.0,39.0,52.0,65.0,63.0,55.0,65.0,54.0,54.0,67.0,49.0,51.0,75.0,58.0,27.0,21.0,22.0,31.0,28.0,25.0,21.0,22.0,19.0,20.0,25.0,27.0,26.0,30.0,25.0,28.0,20.0,20.0
Con Con,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepción,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Conchalí,11.0,14.0,26.0,28.0,29.0,28.0,18.0,21.0,29.0,28.0,27.0,19.0,22.0,12.0,13.0,17.0,20.0,34.0,33.0,9.0,9.0,7.0,6.0,5.0,4.0,3.0,5.0,3.0,6.0,1.0,2.0,6.0,10.0,7.0,6.0,9.0,10.0
Coquimbo,1.0,1.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,
Coyhaique,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacaví,6.0,11.0,12.0,12.0,8.0,12.0,12.0,12.0,16.0,12.0,14.0,19.0,20.0,13.0,13.0,18.0,15.0,25.0,20.0,11.0,9.0,5.0,9.0,7.0,7.0,8.0,4.0,3.0,3.0,2.0,3.0,2.0,11.0,3.0,2.0,2.0,2.0
Curicó,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,
EJERCICIO LIBRE,157.0,152.0,167.0,178.0,221.0,265.0,238.0,245.0,306.0,285.0,284.0,283.0,241.0,229.0,231.0,202.0,236.0,343.0,258.0,164.0,146.0,133.0,144.0,145.0,130.0,107.0,106.0,90.0,72.0,99.0,102.0,78.0,86.0,77.0,72.0,66.0,68.0
El Bosque,33.0,32.0,51.0,49.0,60.0,51.0,54.0,71.0,69.0,78.0,67.0,76.0,65.0,54.0,54.0,47.0,30.0,67.0,59.0,31.0,38.0,33.0,30.0,30.0,24.0,30.0,22.0,21.0,16.0,15.0,18.0,16.0,18.0,13.0,11.0,12.0,11.0
El Monte,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,15.0,9.0,10.0,14.0,8.0,5.0,10.0,10.0,9.0,17.0,20.0,8.0,7.0,9.0,14.0,10.0,9.0,9.0,11.0,6.0,4.0,3.0,3.0,3.0,6.0,7.0,3.0,7.0,4.0
El Quisco,,,,,,,,,,,,1.0,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
Estación Central,33.0,28.0,31.0,63.0,62.0,71.0,65.0,61.0,60.0,61.0,72.0,73.0,64.0,61.0,63.0,56.0,48.0,110.0,86.0,35.0,27.0,32.0,44.0,31.0,36.0,30.0,29.0,19.0,17.0,14.0,11.0,22.0,30.0,28.0,24.0,25.0,29.0
Hualpén,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huechuraba,26.0,19.0,32.0,36.0,46.0,55.0,45.0,40.0,50.0,48.0,46.0,50.0,59.0,46.0,43.0,46.0,47.0,59.0,57.0,26.0,18.0,15.0,26.0,20.0,21.0,17.0,23.0,11.0,11.0,15.0,18.0,15.0,15.0,10.0,9.0,7.0,5.0
Independencia,32.0,25.0,35.0,37.0,53.0,58.0,53.0,55.0,56.0,57.0,52.0,60.0,47.0,43.0,41.0,39.0,42.0,79.0,78.0,33.0,23.0,20.0,33.0,31.0,23.0,27.0,28.0,18.0,14.0,15.0,28.0,20.0,22.0,15.0,14.0,12.0,20.0
Iquique,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,
Isla de Maipo,7.0,6.0,10.0,7.0,12.0,5.0,9.0,22.0,22.0,11.0,17.0,18.0,22.0,19.0,20.0,21.0,17.0,22.0,19.0,9.0,9.0,6.0,6.0,5.0,7.0,10.0,9.0,6.0,5.0,9.0,8.0,11.0,7.0,4.0,2.0,1.0,6.0
La Cisterna,12.0,22.0,19.0,25.0,25.0,15.0,21.0,23.0,20.0,21.0,27.0,22.0,16.0,19.0,19.0,12.0,29.0,44.0,34.0,15.0,14.0,9.0,8.0,14.0,12.0,15.0,19.0,22.0,10.0,12.0,15.0,13.0,18.0,10.0,10.0,6.0,6.0
La Florida,78.0,84.0,97.0,93.0,123.0,133.0,116.0,131.0,153.0,153.0,156.0,134.0,144.0,133.0,137.0,117.0,115.0,239.0,201.0,78.0,59.0,52.0,58.0,64.0,65.0,41.0,43.0,52.0,50.0,42.0,46.0,53.0,54.0,43.0,49.0,36.0,36.0
La Granja,46.0,40.0,48.0,42.0,42.0,55.0,33.0,47.0,50.0,56.0,49.0,66.0,61.0,52.0,58.0,68.0,71.0,99.0,82.0,24.0,31.0,26.0,26.0,33.0,33.0,27.0,26.0,17.0,14.0,14.0,20.0,14.0,14.0,11.0,10.0,6.0,10.0
La Pintana,17.0,24.0,36.0,47.0,47.0,46.0,40.0,41.0,51.0,45.0,49.0,42.0,37.0,42.0,42.0,46.0,43.0,73.0,73.0,28.0,26.0,24.0,27.0,32.0,27.0,30.0,22.0,20.0,20.0,30.0,26.0,27.0,29.0,27.0,14.0,15.0,13.0
La Reina,12.0,9.0,22.0,31.0,36.0,39.0,33.0,36.0,37.0,37.0,38.0,36.0,35.0,27.0,22.0,32.0,26.0,57.0,38.0,20.0,10.0,10.0,15.0,12.0,12.0,22.0,9.0,8.0,8.0,12.0,10.0,8.0,12.0,9.0,5.0,9.0,2.0
La Serena,,1.0,1.0,1.0,,,,,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,,,1.0,,,,,,,1.0,,,,2.0,1.0,,,,,,
Lago Ranco,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,
Lampa,9.0,4.0,10.0,7.0,26.0,15.0,25.0,23.0,23.0,36.0,28.0,24.0,22.0,13.0,14.0,19.0,25.0,29.0,29.0,17.0,14.0,8.0,10.0,20.0,14.0,12.0,9.0,6.0,10.0,8.0,13.0,10.0,16.0,5.0,9.0,8.0,7.0
Las Condes,64.0,61.0,85.0,172.0,195.0,219.0,145.0,104.0,136.0,119.0,142.0,124.0,131.0,105.0,89.0,122.0,134.0,186.0,135.0,84.0,57.0,50.0,57.0,72.0,57.0,42.0,34.0,27.0,19.0,39.0,30.0,45.0,37.0,50.0,28.0,26.0,39.0
Lebu,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Linares,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,
Lo Barnechea,12.0,17.0,25.0,30.0,34.0,47.0,36.0,40.0,36.0,35.0,28.0,42.0,30.0,21.0,23.0,28.0,21.0,43.0,32.0,27.0,14.0,12.0,15.0,17.0,19.0,10.0,7.0,3.0,2.0,16.0,15.0,12.0,16.0,15.0,10.0,8.0,8.0
Lo Espejo,19.0,22.0,21.0,43.0,31.0,28.0,37.0,42.0,30.0,37.0,38.0,42.0,45.0,43.0,51.0,41.0,34.0,60.0,49.0,13.0,13.0,13.0,15.0,14.0,17.0,14.0,11.0,9.0,11.0,13.0,17.0,18.0,15.0,10.0,9.0,8.0,9.0
Lo Prado,11.0,16.0,41.0,37.0,26.0,26.0,21.0,29.0,28.0,26.0,17.0,21.0,23.0,20.0,13.0,18.0,23.0,28.0,28.0,11.0,10.0,14.0,8.0,7.0,5.0,6.0,6.0,9.0,9.0,12.0,3.0,3.0,6.0,5.0,6.0,4.0,11.0
Los Andes,,,,,,,,,,,,,,,,,1.0,,,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,
Los Álamos,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Los Ángeles,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Machalí,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
Macul,29.0,29.0,37.0,48.0,41.0,32.0,33.0,34.0,38.0,45.0,35.0,37.0,39.0,36.0,40.0,30.0,34.0,55.0,43.0,28.0,18.0,15.0,24.0,27.0,23.0,13.0,20.0,16.0,12.0,16.0,12.0,19.0,11.0,12.0,10.0,5.0,8.0
Maipú,133.0,87.0,124.0,141.0,139.0,151.0,93.0,117.0,171.0,139.0,144.0,180.0,149.0,141.0,150.0,139.0,121.0,235.0,216.0,90.0,80.0,84.0,91.0,79.0,89.0,84.0,69.0,55.0,54.0,55.0,56.0,48.0,47.0,50.0,33.0,27.0,37.0
Maria Pinto,8.0,6.0,7.0,7.0,15.0,14.0,24.0,23.0,25.0,18.0,16.0,9.0,5.0,6.0,8.0,3.0,1.0,3.0,2.0,6.0,5.0,2.0,3.0,4.0,9.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0
Maule,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melipilla,19.0,28.0,46.0,35.0,47.0,48.0,47.0,46.0,44.0,46.0,51.0,47.0,38.0,39.0,37.0,37.0,35.0,61.0,51.0,26.0,24.0,20.0,31.0,20.0,25.0,22.0,24.0,14.0,14.0,19.0,19.0,16.0,17.0,15.0,5.0,5.0,12.0
Natales,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
Ninhue,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivar,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Ovalle,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Padre Hurtado,32.0,19.0,15.0,16.0,15.0,31.0,25.0,24.0,23.0,47.0,38.0,45.0,32.0,24.0,26.0,18.0,18.0,35.0,32.0,20.0,19.0,17.0,15.0,16.0,17.0,11.0,9.0,7.0,8.0,7.0,9.0,10.0,7.0,5.0,5.0,7.0,4.0
Paine,19.0,17.0,18.0,29.0,21.0,28.0,16.0,21.0,27.0,32.0,19.0,29.0,24.0,26.0,28.0,26.0,27.0,32.0,24.0,15.0,8.0,12.0,11.0,15.0,15.0,8.0,12.0,10.0,7.0,5.0,5.0,9.0,8.0,6.0,5.0,9.0,6.0
Papudo,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parral,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Pedro Aguirre Cerda,31.0,28.0,35.0,41.0,43.0,39.0,28.0,38.0,36.0,45.0,51.0,58.0,52.0,53.0,54.0,48.0,60.0,78.0,66.0,30.0,28.0,25.0,25.0,25.0,25.0,28.0,22.0,23.0,17.0,17.0,19.0,20.0,18.0,13.0,6.0,3.0,4.0
Pelluhue,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
